Timestamp,Object_ID,Centroid_X,Centroid_Y,Centroid_Z,Velocity_ms,Is_Static,Point_Count
139.66,2,11.345,4.488,1.081,0.0,1,313
139.66,2,11.345,4.488,1.081,0.0,1,313
139.66,3,6.976,-4.374,0.459,0.0,1,453
139.66,3,6.976,-4.374,0.459,0.0,1,453
139.66,4,12.191,8.286,0.322,0.0,1,464
139.66,4,12.191,8.286,0.322,0.0,1,464
139.66,5,11.018,4.632,1.036,0.0,1,472
139.66,5,11.018,4.632,1.036,0.0,1,473
139.66,6,nan,nan,nan,0.0,1,1
139.66,7,12.017,4.38,0.999,0.0,1,251
139.69,1,12.425,8.396,1.584,0.0,1,300
139.69,2,11.345,4.488,1.081,0.0,1,313
139.69,3,6.976,-4.374,0.459,0.0,1,453
139.69,4,12.191,8.286,0.322,0.0,1,464
139.69,5,11.018,4.632,1.036,0.0,1,472
139.69,6,nan,nan,nan,0.0,1,1
139.69,7,12.017,4.38,0.999,0.0,1,251
139.66,6,nan,nan,nan,0.0,1,510
139.66,7,12.017,4.38,0.999,0.0,1,251
139.72,1,12.425,8.396,1.584,0.0,1,300
139.72,2,11.345,4.488,1.081,0.0,1,313
139.72,3,6.976,-4.374,0.459,0.0,1,453
139.75,1,12.425,8.396,1.584,0.0,1,300
139.72,4,12.191,8.286,0.322,0.0,1,464
139.75,2,11.345,4.488,1.081,0.0,1,313
139.72,5,11.018,4.632,1.036,0.0,1,473
139.75,3,6.976,-4.374,0.459,0.0,1,453
139.75,4,12.191,8.286,0.322,0.0,1,464
139.72,6,nan,nan,nan,0.0,1,509
139.75,5,11.018,4.632,1.036,0.0,1,472
139.75,6,nan,nan,nan,0.0,1,1
139.72,7,12.017,4.38,0.999,0.0,1,251
139.75,7,12.017,4.38,0.999,0.0,1,251
139.75,1,12.425,8.396,1.584,0.0,1,300
139.75,2,11.345,4.488,1.081,0.0,1,313
139.75,3,6.976,-4.374,0.459,0.0,1,453
139.75,4,12.191,8.286,0.322,0.0,1,464
